	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
22985	11.74975833	11.14846362	11.14143675	11.30201231	10.84610534	11.32249154	10.99189034	10.80936283
47	11.63295849	10.87069499	11.7895953	12.14011722	11.59534607	11.40773933	10.99931738	11.17515704
130013	1.534061602	1.153481099	1.808302667	5.756094586	7.129984614	0.805457561	4.918333755	3.830214753
57001	9.358774039	8.209950425	8.081277305	3.346006595	8.915043987	5.82529973	8.476548566	8.947367512
48	9.81105513	10.38557631	10.47361992	9.901573193	10.98677739	9.565360122	9.897666242	9.742893639
50	9.734580585	11.81953395	11.94208698	12.67198544	12.6360033	12.0226057	10.77991178	10.77573529
26027	8.037616136	9.169740896	8.301320134	7.606176436	9.819383665	10.00171866	8.021198757	8.497218748
134526	0	0	0	0	0	0	0	0
55856	10.2833206	9.277102314	9.157697334	9.075479952	9.24026996	8.355025958	9.823173912	8.909173356
641371	6.324805204	6.994699642	4.242869224	3.763432822	6.147561102	6.411292343	7.41469961	7.937675129
10965	6.912296572	7.714105363	6.833175994	6.792882676	7.226368839	7.851164975	7.692592488	8.212049828
122970	7.454798546	5.124228864	7.020933283	4.799605422	5.793903684	6.117096566	5.790967476	6.972098684
641372	1.276198865	0.861002514	1.170694234	0	1.951363988	1.319213275	1.292663973	0
11332	10.44120479	10.04564828	10.5099724	10.28375929	11.48998279	9.835888082	10.95706706	8.970547406
10005	8.7514587	8.234753736	8.284842141	8.879884009	8.929496915	9.492703034	8.016844494	8.631213805
23597	8.77647021	8.100501505	8.750101982	7.926623344	8.630596586	8.21468242	10.3773241	9.111965047
51	10.68421229	10.65268403	10.56500142	11.0015773	11.85177703	10.88671505	10.05831785	10.53736208
8309	5.692625265	7.24035345	5.850994396	2.785320372	5.866603883	7.894874136	5.683151832	6.18905953
8310	7.026852057	8.251120212	8.662237194	8.864074688	9.003339128	8.606534763	8.754731202	7.863412578
55289	1.942645867	1.396543134	0.502941568	1.567837462	1.65558081	2.353916058	1.666620268	3.310092863
52	11.35920905	10.22707558	10.01001387	10.45910349	11.0517961	10.44142196	10.3097186	10.4294352
53	9.697866931	9.848335468	11.04239845	10.92610419	10.50690646	9.999681276	10.85517636	10.62724869
54	9.550623285	8.902528873	10.78387289	11.49668933	9.434710367	9.628726579	11.43270892	10.0989765
51205	7.180893766	8.317228082	7.372758867	8.612160058	7.54429295	9.169808028	8.380966623	9.873969109
92370	9.018531251	8.750860709	8.333385716	4.694066707	8.964532348	8.67014316	7.71017826	9.511433052
55	6.917962762	7.858107847	9.533869522	9.941514682	4.0678624	6.927750708	7.2731326	6.32254832
93650	1.276198865	0	0	0.726744042	0.779721981	0	0	0
84519	4.319068727	5.000919425	5.430378951	5.549715371	5.459785691	4.18557322	4.310878122	6.469968981
93953	3.252809222	5.298925864	1.970632817	0.726744042	3.367231263	3.654068863	3.165735108	4.391575274
56	2.396734918	0.493852248	0.875072301	2.301382787	2.406291756	2.125816387	0	1.157108404
49	1.276198865	1.396543134	0.875072301	0	2.196669988	1.996641829	0	2.898808141
23205	2.110396654	3.682202464	1.625410777	1.567837462	2.196669988	4.18557322	3.569673362	2.229680203
81616	2.396734918	1.153481099	0.875072301	0.726744042	0	0.45817199	0	0
80221	9.071605552	7.200873109	7.243724293	9.502426082	7.7742672	8.889567845	7.768896232	8.231370003
197322	7.906295962	9.138141222	8.790068566	8.169107744	8.11179921	9.868563001	8.135319385	8.283560683
2180	9.552446048	8.991984625	10.39313279	8.45680697	8.721601651	10.8718261	10.34673101	9.906692662
2181	12.1468569	10.64402182	10.84697315	10.81531668	10.99414812	11.68320369	11.57661671	11.13290935
2182	10.77828999	12.39190661	11.36753821	10.85462501	10.24926637	10.80587194	11.953016	11.02824549
51703	11.19798189	12.26796305	11.67742002	11.19927984	9.858354213	11.90923067	12.08765401	11.13764319
23305	0.559736524	5.520359385	1.170694234	0.726744042	0.779721981	4.527076593	2.765365008	1.656587895
116285	1.752791401	4.114908351	3.710911103	5.378598321	0	1.697329024	0.786512725	3.593473293
123876	0	0.861002514	0	0	0.441908364	0	0.786512725	0
348158	0	0	0	0	0	0	1.292663973	0
6296	8.35847143	6.863452846	8.931434866	9.925155622	9.926747711	7.639656891	7.753930732	9.674958794
341392	0	0	0	0	0	0	0	0
54988	0	2.656748048	2.24899016	2.641314809	1.811059948	1.854713823	2.686343643	2.321293169
84532	10.29537016	9.894229958	9.645508211	7.9948795	10.9680551	11.80381049	7.766497106	10.49699904
55902	11.88319232	11.60533779	9.265206909	9.723044489	10.5752851	11.68024861	10.04253846	9.833209049
79611	7.324337186	6.511026776	5.765094445	2.641314809	5.85771233	4.093796775	4.760029284	6.552639898
58	0.559736524	0	1.415866811	0.726744042	0.441908364	1.085084679	0	1.343464676
59	13.13060631	13.74218482	13.91381169	12.17737936	12.56310997	12.24237111	14.41155876	14.24086677
345651	3.019737492	0	6.341186993	1.207767938	3.208470439	0	7.818384692	5.030128577
60	16.91294444	16.9826992	17.50452864	17.01137698	17.13464882	17.07129505	18.10832674	17.52367857
70	6.95150154	6.622798605	3.756137296	3.14706243	6.637585614	4.803015164	7.034739548	8.437377568
71	16.69034705	16.59919444	16.99941004	16.56046234	16.76592244	16.37021554	16.54721153	16.60023632
72	10.99247608	11.20891859	8.008375395	10.85717392	9.167903562	11.85493756	13.89717327	11.56575343
86	11.66004872	9.774282852	10.38415625	10.45977442	10.3884764	10.34602688	9.578717048	10.57206987
51412	0	0	0	0	0	0	0	0
10881	0	0	0	0	0.779721981	0	0	0
10880	0	0.493852248	0	1.567837462	0	0	0	0
81569	3.453412221	4.181333173	1.170694234	0.726744042	0	11.33986559	0	7.799131353
284382	0	0	0	0	0	0	0	0
87	11.5632592	12.5506928	13.63348682	12.20638893	12.10830781	13.23658845	13.98692908	13.04415608
88	1.534061602	2.092647217	1.625410777	0	0.779721981	1.996641829	5.891285508	1.508530069
89	0.559736524	0.493852248	0	1.855790416	0.441908364	0	0.786512725	1.157108404
81	14.57917047	14.04473005	14.7204248	14.57108064	14.45698753	14.47129334	15.13673845	14.36600732
55860	8.910409482	9.74781619	9.272035557	9.377312926	8.736226023	9.336746431	10.04551027	9.535546391
10121	10.94366036	11.16343149	11.44057754	11.44916046	11.28331863	10.63868117	11.20468613	11.22494099
10120	10.33296891	9.838721602	10.0822804	10.66165386	10.55480543	10.81966427	9.298036441	10.06293024
10097	13.3587971	12.45703009	12.24492359	11.82666892	12.54087015	12.63512265	12.98582588	12.56229142
57180	6.516265768	6.764939247	6.653587456	7.531545217	6.363906958	7.44364063	6.476955152	6.39287035
653857	5.114979124	4.275550936	6.318748862	7.193605193	6.616660579	5.917415046	4.59674436	5.096468492
10096	11.70314159	12.29844253	12.45110342	11.75713153	12.1584864	12.26703551	13.25073104	12.32039278
79913	8.524963982	7.402272799	7.569301963	7.238092281	7.806962636	8.595423097	7.54360801	7.919464632
64431	8.939950565	9.118146593	7.609909322	7.403471397	7.97257319	8.374348771	9.25503707	8.421937315
93973	8.343180829	8.197969058	8.568672113	8.5555309	7.549822395	7.924035733	8.32987884	7.706586497
139741	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
91	11.31426255	10.14520438	10.0833901	10.96886432	9.903865581	11.16722469	9.823427908	11.15331154
130399	7.320064011	7.535196046	5.402200306	3.436055206	6.253021096	4.967187056	2.20929739	7.247885751
90	9.283956951	9.85470946	9.777510456	10.78243666	10.30591878	9.724912159	10.15183307	10.64120614
92	8.13027144	8.401489252	7.845268612	6.613562593	8.304026351	8.842174003	8.062860511	8.523089082
93	8.110612762	7.544688614	6.717873795	7.686340141	6.595427573	7.948258003	7.081818941	7.027559929
94	9.036874455	9.924236795	9.337671626	8.530198746	9.36741082	8.34645168	8.922535048	8.883043097
